time 	 LH 	 RH
7691	 7691	 7691 
007.061	84.3910	15.6090	
7702	 7702	 7702 
7701	 7701	 7701 
000.001	50.0000	50.0000	
000.008	50.0000	50.0000	
000.012	51.3830	48.6170	
000.073	52.4887	47.5113	
000.137	53.3155	46.6845	
000.198	53.9724	46.0277	
000.257	54.5059	45.4941	
000.321	54.8000	45.2000	
000.386	55.1092	44.8908	
000.445	55.5612	44.4388	
000.509	55.9651	44.0349	
000.573	56.5229	43.4771	
000.637	57.2167	42.7833	
000.697	57.9878	42.0122	
000.757	58.7884	41.2116	
000.821	59.6331	40.3669	
000.885	60.3583	39.6417	
000.945	61.0167	38.9833	
001.009	61.7336	38.2664	
001.073	62.5469	37.4531	
001.137	63.3594	36.6406	
001.197	64.0924	35.9076	
001.257	64.8123	35.1877	
001.321	65.6339	34.3661	
001.385	66.3239	33.6761	
001.445	66.9089	33.0911	
001.509	67.5559	32.4441	
001.573	68.1466	31.8534	
001.637	68.6963	31.3037	
001.697	69.2460	30.7540	
001.757	69.7466	30.2534	
001.821	70.2181	29.7819	
001.885	70.6434	29.3566	
001.945	71.2070	28.7930	
002.009	71.7473	28.2527	
002.073	72.2876	27.7124	
002.137	72.7802	27.2198	
002.197	73.3029	26.6971	
002.257	73.7620	26.2380	
002.321	74.1373	25.8627	
002.385	74.4986	25.5014	
002.445	74.9724	25.0276	
002.509	75.4852	24.5148	
002.573	75.9663	24.0337	
002.637	76.4167	23.5833	
002.697	76.8414	23.1586	
002.757	77.1962	22.8038	
002.821	77.5578	22.4422	
002.885	77.9618	22.0382	
002.945	78.3119	21.6881	
003.009	78.6316	21.3685	
003.073	78.8982	21.1018	
003.137	79.2026	20.7974	
003.197	79.4154	20.5846	
003.257	79.7001	20.2999	
003.321	79.9920	20.0080	
003.385	80.3716	19.6284	
003.445	80.6728	19.3272	
003.509	80.9238	19.0762	
003.573	81.1665	18.8336	
003.637	81.3553	18.6447	
003.697	81.4312	18.5688	
003.757	81.4553	18.5447	
003.821	81.4806	18.5194	
003.885	81.4159	18.5841	
003.945	81.2538	18.7462	
004.009	81.1116	18.8884	
004.073	81.0645	18.9355	
004.137	81.0434	18.9566	
004.197	81.1512	18.8489	
